,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
97,295786301,1,1.725,2.0,0.903,912,456,456,0,336,2.249,0.0,0.253,0.0
98,295832401,96,1.652,2.0,0.904,1365,730,635,95,220,1.887,0.0,0.898,0.0
100,297260101,1,3.632,4.0,0.852,572,286,286,0,208,5.838,0.0,0.202,0.0
101,298719001,1,0.862,1.0,0.65,476,238,238,0,175,0.263,0.0,0.0,0.0
102,303018401,1,1.051,1.0,0.73,1592,796,796,0,591,0.792,0.0,0.255,0.0
103,303502201,531,1.505,2.0,0.903,5544,3037,2507,530,583,0.924,0.0,0.955,0.0
104,305705001,299,1.595,2.0,0.651,4324,2311,2013,298,591,1.851,0.0,0.932,0.0
105,311266501,1,1.825,2.0,0.904,1598,799,799,0,593,2.5,0.0,0.253,0.0
106,312987901,1,0.957,2.0,0.65,1600,800,800,0,595,0.907,0.0,0.0,0.0
107,313099201,1,2.045,2.0,1.656,1254,627,627,0,468,2.788,0.0,1.006,0.0
108,313599001,1,0.951,1.0,0.728,880,440,440,0,320,0.509,0.0,0.078,0.0
110,316062301,1,1.066,1.0,0.752,1242,621,621,0,463,0.802,0.0,0.101,0.0
111,317049401,1,2.168,2.0,0.904,472,236,236,0,170,2.945,0.0,0.237,0.0
112,319360201,1,0.769,1.0,0.651,266,133,133,0,97,0.014,0.01,0.0,1.0
113,321259701,1,0.799,1.0,0.669,580,290,290,0,212,0.154,0.0,0.018,0.0
114,323653801,1,1.199,1.0,0.752,1606,803,803,0,591,1.033,0.0,0.101,0.0
115,323793801,1,0.763,1.0,0.721,734,367,367,0,271,0.113,0.36,0.07,0.0
116,324962901,1,1.651,2.0,0.651,1138,569,569,0,427,1.912,0.0,0.0,1.0
117,325995301,1,2.556,4.0,0.853,1612,806,806,0,590,4.529,0.0,0.202,0.0
118,328599801,1,1.157,1.0,0.651,1594,797,797,0,595,0.984,0.0,0.001,0.0
119,328792801,1,0.65,1.0,0.65,1608,804,804,0,596,0.107,0.0,0.0,0.0
120,331554501,1,3.031,3.0,0.65,718,359,359,0,262,4.709,0.0,0.0,0.0
122,333665401,1,0.806,1.0,0.752,1576,788,788,0,591,0.243,0.0,0.169,0.0
123,334480801,1,3.413,4.0,0.735,1049,525,524,1,384,5.575,0.0,0.084,0.0
124,340860901,1,1.511,2.0,0.65,1232,616,616,0,458,1.953,0.0,0.0,0.0
125,340955901,1,0.89,1.0,0.777,946,473,473,0,348,0.38,0.0,0.227,0.0
127,342463701,1,1.048,2.0,0.651,1218,609,609,0,458,1.034,0.0,0.0,0.0
128,342552501,296,1.655,2.0,0.904,3291,1793,1498,295,223,1.726,0.0,0.932,0.0
129,344386601,1,0.782,1.0,0.686,730,365,365,0,266,0.142,0.0,0.036,0.0
130,345126301,1,0.78,1.0,0.672,334,167,167,0,122,0.069,0.0,0.022,0.0
131,345397901,1,1.352,3.0,0.651,914,457,457,0,340,2.177,0.0,0.0,0.0
133,347058701,1,0.825,1.0,0.728,1582,791,791,0,592,0.311,0.0,0.078,0.0
134,348560401,1,0.838,1.0,0.651,1618,809,809,0,596,0.38,0.0,0.0,0.0
135,348606901,1,0.691,1.0,0.65,1588,794,794,0,590,0.019,0.13,0.0,1.0
136,351329101,1,0.651,1.0,0.651,1588,794,794,0,596,0.105,0.0,0.001,0.0
137,353021501,159,3.152,3.0,1.655,1752,955,797,158,161,4.891,0.0,2.403,0.0
139,356373201,1,1.09,1.0,0.652,1404,702,702,0,525,0.837,0.0,0.002,0.0
140,358732701,1,0.76,1.0,0.696,1584,792,792,0,590,0.166,0.0,0.046,0.0
141,360465001,1,1.048,1.0,0.652,1606,803,803,0,596,0.788,0.0,0.002,0.0
142,364627301,1,0.731,1.0,0.668,1598,799,799,0,591,0.106,0.08,0.036,0.0
143,365969701,322,1.408,2.0,0.903,4335,2328,2007,321,592,1.198,0.0,0.934,0.0
144,368897601,1,1.226,1.0,0.988,519,260,259,1,189,0.989,0.0,0.312,0.0
145,370070501,181,1.621,2.0,0.904,2920,1550,1370,180,571,1.911,0.0,0.909,0.0
146,373885001,1,2.39,2.0,0.904,654,327,327,0,240,3.353,0.0,0.253,0.0
147,376055601,1,3.046,3.0,0.903,208,104,104,0,70,4.672,0.0,0.253,0.0
148,378981801,1,0.972,1.0,0.651,359,180,179,1,126,0.457,0.0,0.0,0.0
149,380010101,1,2.816,3.0,0.651,68,34,34,0,20,4.545,0.0,0.0,0.0
150,380172301,1,1.002,1.0,0.778,1572,786,786,0,590,0.7,0.0,0.254,0.0
151,385043601,1,0.709,1.0,0.65,1510,755,755,0,564,0.063,0.2,0.036,0.0
152,386517601,1,1.087,1.0,0.652,1425,713,712,1,529,0.833,0.0,0.002,0.0
154,389872601,1,2.52,4.0,0.852,1568,784,784,0,591,4.477,0.0,0.202,0.0
155,395191801,1,1.996,2.0,0.715,1324,662,662,0,493,2.715,0.0,0.064,0.0
156,395575601,1,1.654,2.0,0.903,1162,581,581,0,418,1.912,0.0,0.253,0.0
157,398396501,1,0.805,1.0,0.698,1588,794,794,0,592,0.243,0.0,0.047,0.0
159,398553001,1,1.824,5.0,0.651,1600,800,800,0,595,2.511,0.0,0.001,0.0
161,400578401,1,0.813,1.0,0.65,840,420,420,0,309,0.212,0.0,0.0,0.0
162,401584801,1,0.998,1.0,0.652,1626,813,813,0,595,0.695,0.0,0.001,0.0
163,401846601,1,1.154,1.0,0.904,838,419,419,0,312,0.895,0.0,0.254,0.0
164,402248101,1,1.65,2.0,0.651,1592,796,796,0,595,1.937,0.0,0.0,0.0
167,406603701,1,1.153,1.0,0.651,1604,802,802,0,596,0.979,0.0,0.001,0.0
168,408721401,1,0.757,1.0,0.72,990,495,495,0,375,0.122,0.26,0.07,0.0
169,408855301,1,0.891,1.0,0.728,1188,594,594,0,441,0.44,0.0,0.126,0.0
170,409305601,1,1.181,1.0,0.652,900,450,450,0,334,0.955,0.0,0.002,0.0
171,409319701,1,0.825,1.0,0.728,1604,802,802,0,592,0.31,0.0,0.078,0.0
172,409470301,1,2.533,4.0,0.852,1596,798,798,0,590,4.497,0.0,0.177,0.0
173,410577001,224,2.107,3.0,0.903,3385,1804,1581,223,595,2.291,0.0,2.415,0.0
174,410979301,1,0.745,1.0,0.651,1428,714,714,0,532,0.123,0.19,0.0,0.0
175,411238201,565,1.656,2.0,0.904,7068,3816,3252,564,539,2.009,0.0,0.958,0.0
176,412116801,1,0.776,1.0,0.651,424,212,212,0,152,0.088,0.0,0.0,0.0
177,412341901,1,1.432,3.0,0.752,817,409,408,1,300,2.319,0.0,0.101,0.0
179,416619601,1,0.795,1.0,0.65,600,300,300,0,221,0.152,0.0,0.0,0.0
180,416927301,1,1.091,1.0,0.903,348,174,174,0,121,0.676,0.0,0.227,0.0
181,417545801,305,2.156,3.0,0.903,3920,2112,1808,304,594,1.477,0.0,2.429,0.0
182,417865101,56,2.84,3.0,1.155,597,326,271,55,82,3.674,0.0,2.396,0.0
183,418308401,1,0.742,1.0,0.651,1520,760,760,0,560,0.122,0.18,0.0,1.0
184,418401701,1,1.652,2.0,0.65,1590,795,795,0,594,1.941,0.0,0.0,1.0
185,419089101,1,0.724,1.0,0.65,858,429,429,0,319,0.026,0.19,0.0,0.0
186,421152101,1,1.278,1.0,0.904,960,480,480,0,359,1.145,0.0,0.253,0.0
189,428923101,1,3.113,3.0,0.651,334,167,167,0,121,4.781,0.0,0.0,0.0
190,430884601,1,1.155,1.0,0.715,1622,811,811,0,593,0.98,0.0,0.064,0.0
192,431390701,1,1.454,2.0,1.154,450,225,225,0,167,1.689,0.0,0.504,0.0
193,431815001,549,1.655,2.0,0.903,6974,3761,3213,548,590,2.008,0.0,0.957,0.0
195,433299001,1,1.348,1.0,0.752,372,186,186,0,130,1.204,0.0,0.101,0.0
197,435199201,1,1.653,2.0,0.65,1064,532,532,0,396,1.906,0.0,0.0,1.0
198,435713701,267,2.146,3.0,0.904,3604,1935,1669,266,593,1.911,0.0,2.428,0.0
199,436351801,1,0.804,1.0,0.651,1600,800,800,0,594,0.242,0.0,0.001,0.0
200,436895901,1,1.198,1.0,1.012,1604,802,802,0,590,1.031,0.0,0.335,0.0
201,437307501,1,2.074,2.0,0.65,158,79,79,0,50,2.722,0.0,0.0,0.0
202,437657601,1,0.94,1.0,0.729,654,327,327,0,242,0.439,0.0,0.078,0.0
203,440385601,1,1.014,1.0,0.65,1599,800,799,1,594,0.731,0.0,0.0,0.0
205,440756201,1,1.329,2.0,0.714,1580,790,790,0,594,1.708,0.0,0.063,0.0
208,447728401,1,0.737,1.0,0.65,1604,802,802,0,594,0.119,0.16,0.0,1.0
209,448184801,1,1.194,1.0,0.65,1612,806,806,0,596,1.028,0.0,0.0,0.0
210,448476301,1,0.823,1.0,0.65,1612,806,806,0,596,0.308,0.0,0.0,0.0
211,451431601,1,1.015,1.0,0.752,1592,796,796,0,592,0.731,0.0,0.101,0.0
