Spalte1,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
28,206569901,12,41,87,28,199,100,99,1,188,29,0.87,41,0.08
29,207082401,251,73,96,41,1002,501,501,0,522,82,0,41,0
30,208812001,5,41,95,27,129,65,64,1,128,49,0.19,48,0
31,210350901,5,39,90,27,108,54,54,0,102,26,0.41,39,0
32,210919601,116,65,91,44,460,231,229,2,221,20,0.04,9,0.04
33,212667701,295,74,104,46,1178,589,589,0,594,95,0,47,0
34,212769701,64,67,96,35,252,127,125,2,136,80,0,38,0
35,214367601,60,74,91,41,236,119,117,2,114,109,0,54,0
36,217649401,119,56,91,4,830,415,415,0,593,58,0.27,45,0
37,217764201,201,59,96,32,920,460,460,0,503,56,0.06,31,0
38,218303001,53,40,82,29,708,354,354,0,594,19,0.3,22,0.04
39,218688101,240,80,99,63,958,479,479,0,476,97,0,48,0
40,219468301,201,52,84,34,938,469,469,0,537,47,0.06,27,0.07
41,219511701,53,35,91,4,626,313,313,0,524,29,0.39,21,0.02
42,219900501,211,67,86,55,840,421,419,2,421,69,0,35,0
43,220699801,117,82,92,59,464,233,231,2,232,117,0,58,0
44,220961301,13,67,103,42,48,25,23,2,19,77,0,35,0
45,222570001,139,83,93,56,554,277,277,0,288,99,0,50,0
46,222993101,276,74,90,33,1120,560,560,0,594,80,0.03,41,0
47,223048501,5,32,92,5,267,134,133,1,244,25,0.27,33,0.2
48,223120401,288,54,102,39,1160,580,580,0,593,44,0.01,22,0
49,223856401,173,77,90,38,690,346,344,2,345,89,0,44,0
50,224397101,171,71,84,44,682,341,341,0,346,76,0,38,0
51,226600001,222,80,99,61,886,443,443,0,446,96,0,47,0
52,231526101,296,81,95,44,1182,591,591,0,594,91,0,45,0
53,232198601,279,72,96,35,1124,562,562,0,559,114,0,57,0
54,234879501,289,54,95,38,1166,583,583,0,594,37,0.01,18,0
55,235994101,88,70,89,30,351,176,175,1,189,82,0,40,0.01
56,236937001,24,66,97,44,94,47,47,0,41,62,0,30,0
57,240029901,81,42,87,30,738,369,369,0,593,31,0.03,22,0
58,240989701,93,65,73,55,370,185,185,0,196,54,0,27,0
59,242921301,47,69,96,44,186,93,93,0,99,73,0,37,0
60,245740201,304,61,85,42,1214,607,607,0,593,59,0,30,0
61,247273001,110,57,81,31,508,255,253,2,300,43,0.09,25,0
62,248044901,314,76,97,41,1254,627,627,0,594,97,0,48,0
63,253529101,184,47,94,30,950,475,475,0,594,28,0.2,17,0
64,256334601,75,72,93,31,328,164,164,0,175,73,0.11,40,0.01
65,257051801,167,57,86,30,942,471,471,0,593,47,0.26,31,0.04
66,257872901,36,57,103,44,142,71,71,0,69,40,0,22,0.03
67,259827801,196,63,85,5,934,467,467,0,514,58,0.21,34,0.02
68,261217901,32,72,90,59,124,63,61,2,61,29,0.03,14,0.03
69,262938201,7,47,98,28,64,32,32,0,49,53,0.56,50,0.14
70,263181301,59,59,90,39,238,120,118,2,110,56,0,28,0
71,266876301,160,74,95,55,636,319,317,2,334,82,0,41,0
72,267044101,306,65,85,44,1222,611,611,0,594,62,0,31,0
73,267411001,104,53,97,36,458,230,228,2,240,62,0,34,0.01
74,268164901,160,70,102,30,686,344,342,2,362,87,0.03,46,0
75,268192501,297,69,85,41,1186,593,593,0,592,75,0,37,0
76,269306201,193,81,97,33,794,398,396,2,416,102,0.02,52,0.01
77,270552801,235,69,93,40,938,469,469,0,478,97,0,48,0
78,270862901,64,54,80,32,308,155,153,2,186,42,0.12,25,0.03
79,271207601,46,82,92,72,180,91,89,2,82,114,0,57,0
80,271501201,221,65,97,42,880,441,439,2,444,36,0.01,17,0
81,271671501,193,83,96,59,770,385,385,0,398,96,0,47,0
82,273687001,1,48,48,48,1,1,0,1,0,,0,,0
83,274252701,296,78,92,36,1182,591,591,0,592,97,0,48,0
84,275473701,17,53,85,33,117,59,58,1,83,43,0.41,34,0.06
85,282893001,298,79,100,44,1190,595,595,0,593,88,0,44,0
86,283237601,62,59,96,30,290,146,144,2,154,45,0,26,0
87,284492401,300,83,108,37,1216,608,608,0,594,122,0,62,0
88,285373201,150,65,92,5,654,327,327,0,347,74,0.14,40,0
89,285391201,4,36,51,30,74,37,37,0,66,7,0.55,9,0
90,287074901,36,33,80,4,656,328,328,0,588,20,0.62,27,0.06
91,287392801,284,72,104,36,1160,580,580,0,592,85,0,43,0
92,287882201,85,49,87,4,682,341,341,0,518,37,0.23,31,0.01
93,288582301,312,82,92,56,1246,623,623,0,593,92,0,46,0
94,291918801,36,35,102,4,512,257,255,2,451,22,0.58,27,0.06
95,294077501,185,66,94,43,736,369,367,2,386,58,0,29,0
96,294851801,296,57,80,43,1182,591,591,0,593,53,0,26,0
97,295786301,168,75,91,42,670,335,335,0,330,79,0,39,0
98,295832401,54,61,103,4,328,164,164,0,215,70,0.36,51,0.04
99,296967301,291,77,92,35,1176,588,588,0,594,109,0,55,0
100,297260101,107,67,93,54,426,213,213,0,203,93,0,47,0
101,298719001,60,58,79,33,280,141,139,2,170,70,0.04,39,0
102,303018401,213,54,95,31,1008,504,504,0,584,76,0.14,44,0
103,303502201,219,74,93,31,1016,508,508,0,576,75,0.11,43,0
104,305705001,202,72,97,30,986,493,493,0,593,81,0.22,49,0
105,311266501,293,79,106,36,1188,594,594,0,594,104,0,53,0
106,312987901,294,54,79,39,1180,590,590,0,593,48,0,24,0
107,313099201,232,72,98,39,938,469,469,0,463,84,0,42,0
108,313599001,168,66,96,56,668,335,333,2,315,107,0,54,0
109,314610001,106,69,93,28,528,264,264,0,289,74,0.13,46,0
110,316062301,16,28,82,4,472,236,236,0,458,15,0.5,9,0
111,317049401,83,76,90,38,332,167,165,2,165,80,0,40,0
112,319360201,45,54,97,39,176,89,87,2,92,46,0,23,0
113,321259701,103,69,96,58,408,205,203,2,208,22,0.08,10,0.08
114,323653801,301,79,92,38,1204,602,602,0,594,101,0,51,0
115,323793801,130,54,103,40,518,259,259,0,265,46,0,22,0
116,324962901,35,44,99,29,472,237,235,2,423,29,0.63,35,0.03
117,325995301,312,70,81,45,1246,623,623,0,592,73,0,36,0
118,328599801,301,81,102,41,1202,601,601,0,594,114,0,57,0
119,328792801,155,45,107,28,906,453,453,0,594,40,0.25,28,0.01
120,331554501,134,88,99,77,532,267,265,2,258,137,0,68,0
121,332552101,189,65,80,40,752,377,375,2,372,55,0,27,0
122,333665401,298,87,105,70,1190,595,595,0,594,96,0,47,0
123,334480801,183,62,83,36,772,386,386,0,378,59,0.08,31,0.03
124,340860901,92,50,98,6,646,324,322,2,454,36,0.16,27,0
125,340955901,130,61,99,29,609,305,304,1,344,58,0.25,33,0
126,341378901,157,69,97,56,626,313,313,0,312,98,0,49,0
127,342463701,217,72,94,39,864,433,431,2,454,86,0,43,0
128,342552501,34,43,88,6,288,144,144,0,217,40,0.17,26,0
129,344386601,55,45,92,28,380,190,190,0,261,52,0.09,38,0
