,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_mse,opt_rate,discovery_mse,discovery_rate
83,398396501,3,0.045028571428571425,0.09759999999999999,0.0308,63,32,31,1,36.0,0.00015438857142857139,0.21,0.00227,0.0
84,398401201,6,0.041060327868852456,0.1,0.03,678,339,339,0,594.0,0.00015814903010033445,0.16,0.00176,0.0
85,400578401,3,0.04070566037735849,0.0752,0.03,248,124,124,0,216.0,0.0009061683737864078,0.08,0.00025,0.0
86,401584801,1,0.03996478405315614,0.05,0.03,614,307,307,0,592.0,0.0010773990916666666,0.09,0.00011,0.0
87,406559201,4,0.040625742574257426,0.096,0.03,646,323,323,0,593.0,0.0002189495652173913,0.22,0.00193,0.25
88,406566101,12,0.041898484848484845,0.0992,0.03,748,374,374,0,527.0,0.0003131073015873016,0.18,0.00138,0.0
89,406603701,4,0.04301739130434783,0.09759999999999999,0.03,236,118,118,0,182.0,0.00031140909090909087,0.78,0.00175,0.25
90,408855301,1,0.0398449864498645,0.05,0.03,377,189,188,1,352.0,0.00014541726775956282,0.15,0.0,0.0
91,409305601,2,0.040766101694915256,0.08960000000000001,0.03,197,99,98,1,182.0,0.0018876698837209302,0.17,0.00079,0.0
92,409470301,3,0.04106225165562914,0.0992,0.03,628,314,314,0,594.0,0.0010524314214046824,0.08,0.00134,0.33
93,411238201,5,0.043650216450216446,0.0984,0.03,283,142,141,1,242.0,0.0006564712727272729,0.28,0.00086,0.0
94,416619601,7,0.04538285714285714,0.1,0.03,265,133,132,1,174.0,0.00053596,0.28,0.00129,0.14
95,418401701,1,0.036139591836734694,0.05,0.00395,502,251,251,0,498.0,0.001101700512295082,0.16,0.0,1.0
96,419089101,2,0.0409703422053232,0.0984,0.03,283,142,141,1,272.0,0.001317413042635659,0.09,6e-05,0.0
97,421152101,5,0.05078490566037737,0.0992,0.0304,105,53,52,1,51.0,0.0009083123809523812,0.29,0.00133,0.2
98,423938701,2,0.04038576051779935,0.08560000000000001,0.03,642,321,321,0,593.0,0.00015485654723127037,0.16,0.00119,0.5
99,424387101,1,0.040229431438127086,0.05,0.03,608,304,304,0,593.0,0.0001449836241610738,0.21,0.0,1.0
100,428923101,2,0.043512499999999996,0.09359999999999999,0.0304,52,26,26,0,32.0,9.921142857142853e-05,0.36,0.00115,0.0
101,430884601,7,0.0416640522875817,0.096,0.03,710,355,355,0,592.0,0.00029790715719063543,0.2,0.00087,0.0
102,431288001,1,0.03969659863945578,0.05,0.03,600,300,300,0,593.0,0.0001499625938566553,0.13,6e-05,0.0
103,431390701,3,0.0407728813559322,0.0968,0.03,146,73,73,0,119.272,0.0010598355803571428,0.11,0.00029,0.0
104,432477601,1,0.03984039735099338,0.05,0.03,616,308,308,0,593.0,0.00015491774086378739,0.14,5e-05,0.0
105,433300701,6,0.0412172757475083,0.0984,0.03,676,338,338,0,592.0,0.00023667308474576272,0.23,0.00145,0.17
106,436351801,1,0.032943703703703704,0.0992,0.00375,282,141,141,0,268.0,6.821134328358208e-05,0.54,0.0,1.0
107,436895901,2,0.03296453488372093,0.0912,0.00375,614,307,307,0,594.0,9.03876923076923e-05,0.36,0.00108,0.5
108,437657601,11,0.04662645502645504,0.1,0.03,411,206,205,1,195.0,0.0013236310843373494,0.27,0.00124,0.27
109,440433201,5,0.041050847457627125,0.0928,0.03,674,337,337,0,593.0,0.0001210063448275862,0.29,0.00094,0.0
110,440756201,3,0.04051103678929766,0.0824,0.03,628,314,314,0,594.0,0.00018348702702702702,0.11,0.00038,0.33
111,442098401,4,0.050027586206896554,0.0992,0.03,67,34,33,1,25.0,0.0007686080000000003,0.4,0.00121,0.25
112,447728401,3,0.040894368600682594,0.0984,0.00435,612,306,306,0,593.0,0.0020305615948275867,0.09,0.00059,0.33
113,448184801,3,0.040479865771812076,0.09359999999999999,0.03,624,312,312,0,594.0,0.0012601228644067797,0.16,0.00045,0.0
114,451431601,4,0.04224827586206897,0.09519999999999999,0.03,176,88,88,0,120.0,0.00016641777777777773,0.3,0.00099,0.0
